id,utcDate,status,stage,group,lastUpdated,referees,competition.name,season.currentMatchday,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away
537350,2026-06-26T02:00:00Z,TIMED,GROUP_STAGE,GROUP_D,2026-06-13T15:20:17Z,[],FIFA World Cup,1,761.0,Paraguay,Paraguay,PAR,779.0,Australia,Australia,AUS,,REGULAR,,,,
537395,2026-06-26T19:00:00Z,TIMED,GROUP_STAGE,GROUP_I,2026-06-13T15:20:17Z,[],FIFA World Cup,1,8872.0,Norway,Norway,NOR,773.0,France,France,FRA,,REGULAR,,,,
537396,2026-06-26T19:00:00Z,TIMED,GROUP_STAGE,GROUP_I,2026-06-13T15:20:17Z,[],FIFA World Cup,1,804.0,Senegal,Senegal,SEN,8062.0,Iraq,Iraq,IRQ,,REGULAR,,,,
537373,2026-06-27T00:00:00Z,TIMED,GROUP_STAGE,GROUP_H,2026-06-13T15:20:17Z,[],FIFA World Cup,1,758.0,Uruguay,Uruguay,URY,760.0,Spain,Spain,ESP,,REGULAR,,,,
537374,2026-06-27T00:00:00Z,TIMED,GROUP_STAGE,GROUP_H,2026-06-13T15:20:17Z,[],FIFA World Cup,1,1930.0,Cape Verde Islands,Cape Verde,CPV,801.0,Saudi Arabia,Saudi Arabia,KSA,,REGULAR,,,,
537367,2026-06-27T03:00:00Z,TIMED,GROUP_STAGE,GROUP_G,2026-06-13T15:20:17Z,[],FIFA World Cup,1,783.0,New Zealand,New Zealand,NZL,805.0,Belgium,Belgium,BEL,,REGULAR,,,,
537368,2026-06-27T03:00:00Z,TIMED,GROUP_STAGE,GROUP_G,2026-06-13T15:20:17Z,[],FIFA World Cup,1,825.0,Egypt,Egypt,EGY,840.0,Iran,Iran,IRN,,REGULAR,,,,
537413,2026-06-27T21:00:00Z,TIMED,GROUP_STAGE,GROUP_L,2026-06-13T15:20:17Z,[],FIFA World Cup,1,1836.0,Panama,Panama,PAN,770.0,England,England,ENG,,REGULAR,,,,
537414,2026-06-27T21:00:00Z,TIMED,GROUP_STAGE,GROUP_L,2026-06-13T15:20:17Z,[],FIFA World Cup,1,799.0,Croatia,Croatia,CRO,763.0,Ghana,Ghana,GHA,,REGULAR,,,,
537407,2026-06-27T23:30:00Z,TIMED,GROUP_STAGE,GROUP_K,2026-06-13T15:20:17Z,[],FIFA World Cup,1,818.0,Colombia,Colombia,COL,765.0,Portugal,Portugal,POR,,REGULAR,,,,
537408,2026-06-27T23:30:00Z,TIMED,GROUP_STAGE,GROUP_K,2026-06-13T15:20:17Z,[],FIFA World Cup,1,1934.0,Congo DR,Congo DR,COD,8070.0,Uzbekistan,Uzbekistan,UZB,,REGULAR,,,,
537401,2026-06-28T02:00:00Z,TIMED,GROUP_STAGE,GROUP_J,2026-06-13T15:20:17Z,[],FIFA World Cup,1,8049.0,Jordan,Jordan,JOR,762.0,Argentina,Argentina,ARG,,REGULAR,,,,
537402,2026-06-28T02:00:00Z,TIMED,GROUP_STAGE,GROUP_J,2026-06-13T15:20:17Z,[],FIFA World Cup,1,778.0,Algeria,Algeria,ALG,816.0,Austria,Austria,AUT,,REGULAR,,,,
537417,2026-06-28T19:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537423,2026-06-29T17:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537415,2026-06-29T20:30:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537418,2026-06-30T01:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537424,2026-06-30T17:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537416,2026-06-30T21:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537425,2026-07-01T01:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537426,2026-07-01T16:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537422,2026-07-01T20:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537421,2026-07-02T00:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537420,2026-07-02T19:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537419,2026-07-02T23:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537429,2026-07-03T03:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537428,2026-07-03T18:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537427,2026-07-03T22:00:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537430,2026-07-04T01:30:00Z,TIMED,LAST_32,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537376,2026-07-04T17:00:00Z,TIMED,LAST_16,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537375,2026-07-04T21:00:00Z,TIMED,LAST_16,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537377,2026-07-05T20:00:00Z,TIMED,LAST_16,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537378,2026-07-06T00:00:00Z,TIMED,LAST_16,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
537379,2026-07-06T19:00:00Z,TIMED,LAST_16,,2026-06-13T15:20:17Z,[],FIFA World Cup,1,,,,,,,,,,REGULAR,,,,
