awayTeam.id,awayTeam.name,awayTeam.tla,group,homeTeam.id,homeTeam.name,homeTeam.tla,referees,score.duration,score.extraTime.away,score.extraTime.home,score.fullTime.away,score.fullTime.home,score.halfTime.away,score.halfTime.home,score.penalties.away,score.penalties.home,score.regularTime.away,score.regularTime.home,score.winner,stage,status,utcDate
815,Morocco,MAR,,8601,Netherlands,NED,"[{""id"": 11412, ""name"": ""Wilton Sampaio"", ""type"": ""REFEREE"", ""nationality"": ""Brazil""}]",PENALTY_SHOOTOUT,0,0,4,3,0,0,3,2,1,1,AWAY_TEAM,LAST_32,FINISHED,2026-06-30T01:00:00Z
8872,Norway,NOR,,1935,Ivory Coast,CIV,"[{""id"": 28805, ""name"": ""Jesús Valenzuela"", ""type"": ""REFEREE"", ""nationality"": ""Venezuela""}]",REGULAR,,,2,1,1,0,,,,,AWAY_TEAM,LAST_32,FINISHED,2026-06-30T17:00:00Z
792,Sweden,SWE,,773,France,FRA,"[{""id"": 43899, ""name"": ""Danny Makkelie"", ""type"": ""REFEREE"", ""nationality"": ""Netherlands""}]",REGULAR,,,0,3,0,1,,,,,HOME_TEAM,LAST_32,FINISHED,2026-06-30T21:00:00Z
791,Ecuador,ECU,,769,Mexico,MEX,"[{""id"": 9351, ""name"": ""Slavko Vinčič"", ""type"": ""REFEREE"", ""nationality"": ""Slovenia""}]",REGULAR,,,0,2,0,2,,,,,HOME_TEAM,LAST_32,FINISHED,2026-07-01T02:00:00Z
1934,Congo DR,COD,,770,England,ENG,"[{""id"": 129250, ""name"": ""Adham Makhadmeh"", ""type"": ""REFEREE"", ""nationality"": ""Jordan""}]",REGULAR,,,1,2,1,0,,,,,HOME_TEAM,LAST_32,FINISHED,2026-07-01T16:00:00Z
804,Senegal,SEN,,805,Belgium,BEL,"[{""id"": 190002, ""name"": ""Said Martinez"", ""type"": ""REFEREE"", ""nationality"": ""Honduras""}]",EXTRA_TIME,0,1,2,3,1,0,,,2,2,HOME_TEAM,LAST_32,FINISHED,2026-07-01T20:00:00Z
1060,Bosnia-Herzegovina,BIH,,771,United States,USA,"[{""id"": 11260, ""name"": ""Raphael Claus"", ""type"": ""REFEREE"", ""nationality"": ""Brazil""}]",REGULAR,,,0,2,0,1,,,,,HOME_TEAM,LAST_32,FINISHED,2026-07-02T00:00:00Z
816,Austria,AUT,,760,Spain,ESP,[],REGULAR,,,,,,,,,,,,LAST_32,TIMED,2026-07-02T19:00:00Z
799,Croatia,CRO,,765,Portugal,POR,[],REGULAR,,,,,,,,,,,,LAST_32,TIMED,2026-07-02T23:00:00Z
778,Algeria,ALG,,788,Switzerland,SUI,[],REGULAR,,,,,,,,,,,,LAST_32,TIMED,2026-07-03T03:00:00Z
825,Egypt,EGY,,779,Australia,AUS,[],REGULAR,,,,,,,,,,,,LAST_32,TIMED,2026-07-03T18:00:00Z
1930,Cape Verde Islands,CPV,,762,Argentina,ARG,[],REGULAR,,,,,,,,,,,,LAST_32,TIMED,2026-07-03T22:00:00Z
763,Ghana,GHA,,818,Colombia,COL,[],REGULAR,,,,,,,,,,,,LAST_32,TIMED,2026-07-04T01:30:00Z
815,Morocco,MAR,,828,Canada,CAN,[],REGULAR,,,,,,,,,,,,LAST_16,TIMED,2026-07-04T17:00:00Z
773,France,FRA,,761,Paraguay,PAR,[],REGULAR,,,,,,,,,,,,LAST_16,TIMED,2026-07-04T21:00:00Z
